Date,Price,Open,High,Low,Vol.,Change %
12/29/2021,"46,461.70","47,548.40","48,121.70","46,127.80",63.92K,-2.28%
12/30/2021,"47,123.30","46,470.70","47,901.40","46,003.00",60.96K,1.42%
12/31/2021,"46,219.50","47,123.30","48,553.90","45,693.60",58.18K,-1.92%
1/1/2022,"47,738.00","46,217.50","47,917.60","46,217.50",31.24K,3.29%
1/2/2022,"47,311.80","47,738.70","47,944.90","46,718.20",27.02K,-0.89%
1/3/2022,"46,430.20","47,293.90","47,556.00","45,704.00",41.06K,-1.86%
1/4/2022,"45,837.30","46,435.70","47,505.40","45,602.10",55.59K,-1.28%
1/5/2022,"43,425.90","45,833.10","47,019.40","42,535.10",83.74K,-5.26%
1/6/2022,"43,097.50","43,431.60","43,772.30","42,481.10",63.08K,-0.76%
1/7/2022,"41,546.70","43,097.90","43,127.70","40,810.00",88.36K,-3.60%
1/8/2022,"41,672.00","41,551.30","42,304.40","40,574.30",52.54K,0.30%
1/9/2022,"41,848.30","41,681.20","42,764.40","41,260.90",37.51K,0.42%
1/10/2022,"41,832.20","41,848.90","42,243.80","39,697.00",85.50K,-0.04%
1/11/2022,"42,733.20","41,829.10","43,090.20","41,287.60",61.78K,2.15%
1/12/2022,"43,901.00","42,735.00","44,243.60","42,476.70",53.95K,2.73%
1/13/2022,"42,560.00","43,900.00","44,404.70","42,337.50",53.42K,-3.05%
1/14/2022,"43,073.30","42,562.20","43,435.10","41,848.70",50.50K,1.21%
1/15/2022,"43,097.00","43,073.60","43,777.90","42,586.10",31.44K,0.06%
1/16/2022,"43,079.10","43,079.20","43,462.00","42,643.30",28.66K,-0.04%
1/17/2022,"42,209.30","43,080.50","43,179.60","41,559.40",41.44K,-2.02%
1/18/2022,"42,364.60","42,209.90","42,674.20","41,300.70",47.32K,0.37%
1/19/2022,"41,677.80","42,365.30","42,558.00","41,160.90",53.77K,-1.62%
1/20/2022,"40,715.90","41,683.60","43,487.10","40,568.30",65.28K,-2.31%
1/21/2022,"36,475.50","40,698.10","41,104.60","35,503.90",155.80K,-10.41%
1/22/2022,"35,075.20","36,467.70","36,749.80","34,116.00",138.09K,-3.84%
1/23/2022,"36,269.50","35,072.90","36,513.00","34,655.20",70.43K,3.40%
1/24/2022,"36,686.30","36,268.60","37,424.00","32,985.60",153.77K,1.15%
1/25/2022,"36,950.60","36,691.30","37,501.80","35,729.30",79.68K,0.72%
1/26/2022,"36,800.40","36,962.30","38,862.60","36,280.00",107.87K,-0.41%
1/27/2022,"37,164.30","36,800.10","37,215.40","35,543.20",83.52K,0.99%
1/28/2022,"37,745.10","37,195.60","37,995.90","36,176.50",69.45K,1.56%
1/29/2022,"38,170.80","37,736.50","38,663.70","37,350.20",42.77K,1.13%
1/30/2022,"37,917.70","38,167.50","38,313.30","37,390.60",34.10K,-0.66%
1/31/2022,"38,498.60","37,923.80","38,701.40","36,672.80",61.27K,1.53%
2/1/2022,"38,709.70","38,475.60","39,230.00","38,037.90",55.20K,0.55%
2/2/2022,"36,890.20","38,711.20","38,853.80","36,682.30",53.74K,-4.70%
2/3/2022,"37,287.80","36,890.20","37,304.30","36,297.30",50.35K,1.08%
2/4/2022,"41,567.60","37,287.80","41,689.00","37,041.10",95.49K,11.48%
2/5/2022,"41,412.10","41,566.50","41,899.80","40,963.30",46.32K,-0.37%
2/6/2022,"42,392.20","41,411.90","42,614.80","41,176.30",31.20K,2.37%
2/7/2022,"43,833.90","42,385.20","44,468.30","41,695.40",76.60K,3.40%
2/8/2022,"44,038.20","43,833.90","45,399.80","42,705.00",92.88K,0.47%
2/9/2022,"44,388.90","44,038.20","44,800.40","43,163.00",50.92K,0.80%
2/10/2022,"43,521.00","44,388.90","45,755.20","43,242.50",89.69K,-1.96%
2/11/2022,"42,388.40","43,519.30","43,915.10","42,023.40",69.95K,-2.60%
2/12/2022,"42,205.20","42,388.40","43,006.40","41,776.80",37.88K,-0.43%
2/13/2022,"42,061.10","42,205.50","42,725.10","41,880.10",25.88K,-0.34%
2/14/2022,"42,550.30","42,061.10","42,799.70","41,591.30",53.60K,1.16%
2/15/2022,"44,544.40","42,550.30","44,722.60","42,460.10",56.34K,4.69%
2/16/2022,"43,883.60","44,540.90","44,552.90","43,377.60",41.40K,-1.48%
2/17/2022,"40,552.80","43,885.50","44,167.10","40,103.80",72.63K,-7.59%
2/18/2022,"40,000.10","40,532.50","40,935.50","39,505.00",64.96K,-1.36%
2/19/2022,"40,090.30","40,000.10","40,434.30","39,666.60",25.78K,0.23%
2/20/2022,"38,355.00","40,089.60","40,120.30","38,042.20",47.92K,-4.33%
2/21/2022,"37,017.70","38,355.00","39,444.10","36,868.90",91.82K,-3.49%
2/22/2022,"38,248.20","37,018.30","38,414.90","36,399.60",82.75K,3.32%
2/23/2022,"37,224.60","38,248.20","39,194.50","37,099.50",64.84K,-2.68%
2/24/2022,"38,339.20","37,250.20","39,351.60","34,357.40",180.47K,2.99%
2/25/2022,"39,209.60","38,339.20","39,683.70","38,042.60",83.78K,2.27%
2/26/2022,"39,115.50","39,221.60","40,094.50","38,639.10",41.55K,-0.24%
2/27/2022,"37,689.10","39,116.60","39,838.50","37,062.30",66.14K,-3.65%
2/28/2022,"43,188.20","37,707.20","43,977.80","37,458.90",108.07K,14.59%
3/1/2022,"44,420.30","43,187.20","44,900.50","42,876.60",90.67K,2.85%
3/2/2022,"43,912.80","44,420.30","45,294.20","43,361.30",80.82K,-1.14%
3/3/2022,"42,463.00","43,912.80","44,077.20","41,840.80",74.11K,-3.30%
3/4/2022,"39,142.70","42,463.00","42,848.70","38,594.90",3.21B,-7.82%
3/5/2022,"39,395.80","39,142.80","39,600.20","38,626.10",1.50B,0.65%
3/6/2022,"38,403.10","39,396.30","39,668.10","38,115.00",1.93B,-2.52%
3/7/2022,"38,024.80","38,420.60","39,532.00","37,182.10",3.02B,-0.99%
3/8/2022,"38,744.80","38,020.60","39,351.50","37,886.60",2.67B,1.89%
3/9/2022,"41,929.00","38,731.50","42,538.50","38,663.30",3.60B,8.22%
3/10/2022,"39,416.30","41,933.90","42,029.10","38,603.50",3.62B,-5.99%
3/11/2022,"38,730.20","39,422.50","40,177.00","38,236.40",2.79B,-1.74%
3/12/2022,"38,814.30","38,730.20","39,355.30","38,666.50",1.11B,0.22%
3/13/2022,"37,792.40","38,813.20","39,272.30","37,603.40",1.55B,-2.63%
3/14/2022,"39,671.10","37,789.50","39,914.30","37,613.60",2.33B,4.97%
3/15/2022,"39,285.70","39,673.00","39,854.70","38,220.90",2.25B,-0.97%
3/16/2022,"41,118.70","39,282.50","41,701.60","38,953.20",4.47B,4.67%
3/17/2022,"40,914.80","41,118.70","41,406.00","40,557.80",1.90B,-0.50%
3/18/2022,"41,767.80","40,914.60","42,308.40","40,234.80",2.31B,2.08%
3/19/2022,"42,233.00","41,768.00","42,386.00","41,529.60",224.59M,1.11%
3/20/2022,"41,276.00","42,241.00","42,301.00","40,922.00",308.45M,-2.27%
3/21/2022,"41,022.00","41,282.00","41,532.00","40,530.00",406.62M,-0.62%
3/22/2022,"42,373.00","41,022.00","43,327.90","40,893.00",537.06M,3.29%
3/23/2022,"42,912.00","42,373.00","43,027.00","41,795.00",433.96M,1.27%
3/24/2022,"44,013.00","42,911.00","44,251.00","42,658.00",491.66M,2.57%
3/25/2022,"44,331.00","44,013.00","45,112.00","43,622.00",494.09M,0.72%
3/26/2022,"44,548.00","44,331.00","44,818.00","44,090.00",196.30M,0.49%
3/27/2022,"46,859.00","44,542.00","46,947.00","44,445.00",388.79M,5.19%
3/28/2022,"47,105.00","46,859.00","48,199.00","46,672.00",610.27M,0.52%
3/29/2022,"47,449.00","47,126.00","48,127.00","47,029.00",478.82M,0.73%
3/30/2022,"47,075.00","47,449.00","47,714.00","46,601.00",467.76M,-0.79%
